Accession;Gene;Protein;Disease/Condition;Sample;Change;Authorship;Study
P07288;KLK3;Prostate-specific antigen;Bilateral anarchidy;Seminal plasma;-;Starita-Geribaldi et al. 2001;Mapping of seminal plasma proteins by two-dimensional gel electrophoresis in men with normal and impaired spermatogenesis
P05231;IL6;Interleukin-6;Chronic bacterial prostatitis;Seminal plasma;+;Ausmees et al. 2013;Semen quality and associated reproductive indicators in middle-aged males: the role of non-malignant prostate conditions and genital tract inflammation
P01375;TNF;Tumor necrosis factor alpha;Chronic bacterial prostatitis;Seminal plasma;+;Guo et al. 2010;Heat-shock protein 70 expression in the seminal plasma of patients with chronic bacterial prostatitis and chronic prostatitis/chronic pelvic pain syndrome
P0DMV8;HSPA1A;Heat shock 70 kDa protein 1A;Chronic bacterial prostatitis;Seminal plasma;+;Guo et al. 2010;Heat-shock protein 70 expression in the seminal plasma of patients with chronic bacterial prostatitis and chronic prostatitis/chronic pelvic pain syndrome
P01584;IL1B;Interleukin-1 beta;Chronic bacterial prostatitis;Seminal plasma;+;Guo et al. 2010;Heat-shock protein 70 expression in the seminal plasma of patients with chronic bacterial prostatitis and chronic prostatitis/chronic pelvic pain syndrome
P05231;IL6;Interleukin-6;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Ausmees et al. 2013;Semen quality and associated reproductive indicators in middle-aged males: the role of non-malignant prostate conditions and genital tract inflammation
P01584;IL1B;Interleukin-1 beta;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Guo et al. 2010;Heat-shock protein 70 expression in the seminal plasma of patients with chronic bacterial prostatitis and chronic prostatitis/chronic pelvic pain syndrome
P0DMV8;HSPA1A;Heat shock 70 kDa protein 1A;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;-;Guo et al. 2010;Heat-shock protein 70 expression in the seminal plasma of patients with chronic bacterial prostatitis and chronic prostatitis/chronic pelvic pain syndrome
P10145;CXCL8;Interleukin-8;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P22362;CCL1;C-C motif chemokine 1;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
O00626;CCL22;C-C motif chemokine 22;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
Q92583;CCL17;C-C motif chemokine 17;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P13236;CCL4;C-C motif chemokine 4;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P10147;CCL3;C-C motif chemokine 3;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P01583;IL1A;Interleukin-1 alpha;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P01584;IL1B;Interleukin-1 beta;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P05231;IL6;Interleukin-6;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P22301;IL10;Interleukin-10;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P29459;IL12A;Interleukin-12 subunit alpha;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P29460;IL12B;Interleukin-12 subunit beta;Chronic prostatitis/Chronic prostate pain syndrome;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P01215;CGA;Choriogonadotropin alpha chain;Cryptozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Cryptozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Cryptozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P02768 ;ALB;Serum albumin;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P15144 ;ANPEP;Aminopeptidase N ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P54107 ;CRISP1;Cysteine-rich secretory protein 1 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P01036 ;CST4;Cystatin-S ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P02751 ;FN1;Fibronectin ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P01857 ;IGHG1;Ig gamma-1 chain C region;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
Q08380 ;LGALS3BP;Galectin-3-binding protein ;DNA fragmentation;Seminal plasma;Cryptozoospermia;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P61916 ;NPC2;Epididymal secretory protein E1 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P02763 ;ORM1;Alpha-1-acid glycoprotein 1 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P19652 ;ORM2;Alpha-1-acid glycoprotein 2 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P0C8F1 ;PATE4;Prostate and testis expressed protein 4 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P23284 ;PPIB;Peptidyl-prolyl cis-trans isomerase B ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P41222 ;PTGDS;Prostaglandin-H2 D-isomerase ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P07998 ;RNASE1;Ribonuclease pancreatic ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P49223 ;SPINT3;Kunitz-type protease inhibitor 3 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P02787 ;TF;Serotransferrin ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
Q14507 ;EDDM3A;Epididymal secretory protein E3-alpha ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P01834 ;IGKC;Ig kappa chain C region;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
Q9UBX7 ;KLK11;Kallikrein-11 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P20142 ;PGC;Gastricsin ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P34096 ;RNASE4;Ribonuclease 4 ;DNA fragmentation;Seminal plasma;+;Intasqui et al. 2013;"Sperm nuclear DNA fragmentation rate is associated with differential protein expression and enriched functions in human seminal plasma
"
P20151;KLK2 ;Kallikrein-2;Hyperviscosity;Seminal plasma;-;Emami et al. 2009;Association between kallikrein-related peptidases (KLKs) and macroscopic indicators of semen analysis: their relation to sperm motility
Q9UKR3;KLK13;Kallikrein-13;Hyperviscosity;Seminal plasma;-;Emami et al. 2009;Association between kallikrein-related peptidases (KLKs) and macroscopic indicators of semen analysis: their relation to sperm motility
P01011;SERPINA3;Alpha-1-antichymotrypsin ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P15121;AKR1B1;Aldose reductase ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P30711;GSTT1;Glutathione S-transferase theta-1 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P20929;NEB;Nebulin;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q13214-1;SEMA3B;Semaphorin-3B ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
O95994;AGR2;Anterior gradient protein 2 homolog ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
A6NM62;LRRC53;Leucine-rich repeat-containing protein 53;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P53814;SMTN;Smoothelin;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q9UPU5;USP24;Ubiquitin carboxyl-terminal hydrolase 24 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q01638;IL1RL1;Interleukin-1 receptor-like 1 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
O60281;ZNF292;Zinc finger protein 292;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P51888;PRELP;Prolargin ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q8WWA0;ITLN1;Intelectin-1 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q15389;ANGPT1;Angiopoietin-1 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q7Z7H5;TMED4;Transmembrane emp24 domain-containing protein 4 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q8IVF4;DNAH10;Dynein heavy chain 10, axonemal ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q8TES7;FBF1;Fas-binding factor 1 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P13284;IFI30;Gamma-interferon-inducible lysosomal thiol reductase ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q06278;AOX1;Aldehyde oxidase ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P48735;IDH2;Isocitrate dehydrogenase [NADP], mitochondrial ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P49591;SARS;Serine--tRNA ligase, cytoplasmic ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q9Y6D5;ARFGEF2;Brefeldin A-inhibited guanine nucleotide-exchange protein 2 ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P00966;ASS1;Argininosuccinate synthase ;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
Q5JX69;FAM209B;Protein FAM209B;Idiopathic Oligoasthenoteratozoospermia;Seminal plasma;+;Herwig et al. 2013;Proteomic analysis of seminal plasma from infertile patients with oligoasthenoteratozoospermia due to oxidative stress and comparison with fertile volunteers
P01225;FSHB;Follicle-stimulating hormone;Infertile oligoasthenozoospermia with varicocele;Seminal plasma;+;Zedan et al. 2009;Soluble Fas and gonadal hormones in infertile men with varicocele
P01236;PRL;Prolactin;Infertile oligoasthenozoospermia with varicocele;Seminal plasma;+;Zedan et al. 2009;Soluble Fas and gonadal hormones in infertile men with varicocele
P25445;FAS;SOLUBLE! Tumor necrosis factor receptor superfamily member 6;Infertile oligoasthenozoospermia with varicocele;Seminal plasma;+;Zedan et al. 2009;Soluble Fas and gonadal hormones in infertile men with varicocele
Q7Z6J8;UBE3D;E3 ubiquitin-protein ligase E3D ;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
P14735;IDE;Insulin-degrading enzyme ;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
P46940;IQGAP1;Ras GTPase-activating-like protein IQGAP1 ;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
P00450;CP;Ceruloplasmin ;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
Q9NYU2;UGGT1;UDP-glucose:glycoprotein glucosyltransferase 1 ;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
P09471;GNAO1;Guanine nucleotide-binding protein G;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
P01040;CSTA;Cystatin-A ;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
O94813;SLIT2;Slit homolog 2 protein ;Infertility;Seminal plasma;+;Cadavid J et al. 2014;Differential protein expression in seminal plasma from fertile and infertile males
P25445;FAS;SOLUBLE! Tumor necrosis factor receptor superfamily member 6;Infertility;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
P08294;SOD3;Extracellular superoxide dismutase [Cu-Zn];Infertility;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
O75715;GPX5;Epididymal secretory glutathione peroxidase;Infertility;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
P04040;CAT;Catalase;Infertility;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
P01375;TNF;Tumor necrosis factor alpha;Leukocytospermia;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
P05231;IL6;Interleukin-6;Leukocytospermia;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
Q9HD89;RETN;Resistin;Leukocytospermia;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
P05231;IL6;Interleukin-6;Lower urinary tract symptoms;Seminal plasma;+;Ausmees et al. 2013;Semen quality and associated reproductive indicators in middle-aged males: the role of non-malignant prostate conditions and genital tract inflammation
Q00796;SORD;Sorbitol dehydrogenase;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q9UJ14;GGT7;Gamma-glutamyltransferase 7;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P62805;HIST1H4HA;Histone H4;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q9H4B8;DPEP3 ;Dipeptidase 3;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q9BY14;TEX101;Testis-expressed sequence 101 protein;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P19835;CEL;Bile salt-activated lipase;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P07205;PGK2;Phosphoglycerate kinase 2;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P17612;PRKACA;cAMP-dependent protein kinase catalytic subunit alpha;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P15259;PGAM2 ;Phosphoglycerate mutase 2;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q8TDB8;SLC2A14;Solute carrier family 2, facilitated glucose transporter member 14;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P19022;CDH2 ;Cadherin-2;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q7L266;ASRGL1 ;Isoaspartyl peptidase/L-asparaginase;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P27105;STOM ;Erythrocyte band 7 integral membrane protein;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q7RTZ1;OVCH2 ;Ovochymase-2;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P41222;PTGDS ;Prostaglandin-H2 D-isomerase;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P16562;CRISP2 ;Cysteine-rich secretory protein 2 ;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q6XZB0;LIPI ;Lipase member I ;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P07864;LDHC ;L-lactate dehydrogenase C chain ;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P08185;SERPINA6 ;Corticosteroid-binding globulin ;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P22748;CA4 ;Carbonic anhydrase 4 ;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q96A08;HIST1H2BA ;Histone H2B type 1-A ;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P05164;MPO ;Myeloperoxidase ;Non-obstructive azoospermia;Seminal plasma;-;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P52735;VAV2 ;Guanine nucleotide exchange factor VAV2 ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P21980;TGM2 ;Protein-glutamine gamma-glutamyltransferase 2 ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P09486;SPARC ;SPARC (Basement-membrane protein 40) ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q5VYK3;KIAA0368 ;Proteasome-associated protein ECM29 homolog ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q9H6S3;EPS8L2 ;Epidermal growth factor receptor kinase substrate 8-like protein 2 ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q14515;SPARCL1 ;SPARC-like protein 1 ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P12110;COL6A2 ;Collagen alpha-2;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q92499;DDX1 ;ATP-dependent RNA helicase DDX1 ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P09228;CST2 ;Cystatin-SA ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
P01036;CST4 ;Cystatin-S ;Non-obstructive azoospermia;Seminal plasma;+;Batruch et al. 2012;Analysis of seminal plasma from patients with non-obstructive azoospermia and identification of candidate biomarkers of male infertility
Q9BY14;TEX101;Testis-expressed sequence 101 protein ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P07864;LDHC;L-lactate dehydrogenase C chain ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P19835;CEL;Bile salt-activated lipase ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
